AW N_0 N_1 N_2 N_3 N_4 N_5
1.0 1.31341945382e+12 3.65686580546e+14 nan nan nan nan
2.0 2.63839214431e+13 4.81107855692e+12 11.6191176467 nan nan nan
3.0 4.09170571983 1467995.90829 3.47349991692e-13 2.96026561754e-48 nan nan
4.0 0.00733228660293 119.332806368 1715.65986134 8.91876383503e-43 1.21937097321e-110 nan
5.0 0.350475174161 4333.73815956 253.411071997 0.000293273214951 6.92219960677e-86 5.98372151665e-196
6.0 51803636.0065 119294519408.0 2130676952.7 3.65577031339 2.9989623815e-15 1.37125269987e-142
7.0 57248787.2245 33374629474.5 38521738.2848 0.0078083310101 8.65421576299e-22 2.21566943384e-48
8.0 964728270.911 241610524164.0 11747565.2631 2.50430034684e-05 2.42573647995e-25 7.58606110136e-57
9.0 374492.925164 14231941.366 165.708873343 2.51032072092e-12 4.32645177347e-35 8.88747912283e-68
10.0 20433374029.3 10101013288.0 12682.6814592 3.16521866409e-11 6.71653048034e-37 4.05566369136e-73
11.0 2915.12329387 653257079.465 5.4119797382 3.10611966894e-17 4.72130478602e-44 6.0334607253e-84
12.0 877.35917363 109550346.145 9542548776.5 3.816690305e-10 2.29323761111e-40 8.70323151321e-82
13.0 1220.90030646 48284991.9828 849052133.804 1811653.3128 1.34594071073e-27 3.78719489506e-73
14.0 40257.7633402 1017839292.07 11128076921.3 1743528.85944 0.00662456347377 3.71815925688e-52
15.0 2494.980858 29780112.305 91678120.7177 16271.9964315 1.67104954357e-06 8.93225067372e-22
16.0 1015178.13505 3788319312.78 2009228090.29 37418.7936807 9.10275999929e-06 4.84079958986e-23
17.0 98960.7997563 134253356.35 11713666.7582 16.0924298327 1.10090392125e-10 2.17963246373e-27
18.0 4629157.72432 2276939408.23 34201430.256 3.78741406548 5.72434010832e-13 1.47657583329e-31
19.0 82.8803848302 32632548.6051 67068.5140664 0.000449329365231 5.60598173262e-18 1.13922531471e-38
20.0 1.84437599532 731167.825344 733268829.986 0.343960585661 9.33169967408e-17 8.7037398242e-39
21.0 0.00465671410671 1315.50480506 603099.417487 4805.07305126 3.75431775292e-14 4.06911732082e-38
22.0 1.04316434378 232378.447664 49098958.7004 213661.808031 0.000715594937955 7.18464733548e-30
23.0 0.430516595791 57462.2755638 9139449.71389 14787.5800186 1.54027561052e-05 1.35045274035e-21
24.0 15.3271710432 1329856.58732 258337501.836 168626.249626 3.96209597603e-05 6.00689274607e-22
25.0 11.9414708194 1066300.24227 91024929.2736 25758.5426138 1.79198180535e-06 4.15489971297e-24
26.0 4202.76712028 341009782.967 14263034885.0 2551129.22608 3.79820647729e-05 1.67227550493e-23
27.0 28.9855684512 1313388.66445 44925464.8335 3117.5164772 4.2930508909e-08 1.98104739476e-27
28.0 1068.51760268 23856697.0251 710122975.574 19258.8836146 5.67573606467e-08 2.30990031942e-27
29.0 15.8283500456 413093.226753 11183961.889 129.055847535 7.9434465264e-11 6.19136317922e-31
30.0 18.9060794214 593797.402637 5204754.56712 29.1241610173 5.68735920927e-12 7.18280001335e-33
