AW N_0 N_1 N_2 N_3 N_4 N_5
1.0 5.99961525488e+16 3.84745122324e+12 nan nan nan nan
2.0 5.1e+15 174.788302635 2.36637032465e-39 nan nan nan
3.0 82162.5084856 239917837.492 5.58680870603e-52 5.1405153622e-154 nan nan
4.0 159498.522431 140501.476269 0.00129963488868 2.93641206763e-133 0.0 nan
5.0 216855.380418 533144.619582 2.868236312e-09 2.54055676921e-35 9.3435127241e-260 0.0
6.0 1.96537580498e+13 206241950151.0 0.000905003477432 3.60810462969e-38 4.37797075305e-88 0.0
7.0 5.47177565536e+12 224344640.834 8.1615912841e-11 6.73827233743e-46 7.12004401247e-107 8.46510663698e-187
8.0 3.96577700067e+13 2229993292.9 2.99021984172e-14 1.84080863161e-55 1.83514175805e-117 3.60081292734e-211
9.0 2387999840.05 159.945792864 6.21899014012e-22 1.34958373641e-69 9.74593342584e-140 8.56707602976e-235
10.0 4.99199999998e+12 22.1266568989 4.45709429873e-27 6.19999601026e-76 1.63145212354e-154 9.48468506184e-260
11.0 42550642.517 106757449357.0 4.41803699681e-23 4.20894750624e-79 8.08768542582e-160 1.73473180833e-275
12.0 27260935149.0 1.55073410815e+12 4956697.53645 6.27100591441e-57 8.35589003732e-147 1.31694828322e-265
13.0 975253783.173 146024745468.0 749.111614136 2.18444327316e-15 4.25143784106e-114 5.90674626174e-244
14.0 280234952826.0 1.70576491848e+12 128689.466117 4.4475064148e-17 1.31061012543e-49 2.2821714981e-190
15.0 17341276607.6 2518723391.75 0.68197896196 1.77469732267e-20 4.57288638155e-58 1.81556255634e-108
16.0 899772420696.0 48227579303.8 0.0236809755673 1.85286177436e-25 2.46186631991e-60 6.30556914536e-117
17.0 23863344850.6 16655149.4409 7.38693598574e-07 9.11095581801e-34 1.17386454661e-73 5.04150402324e-127
18.0 378597272520.0 2727479.98456 1.5935889579e-10 3.74836270738e-39 3.28004563165e-84 1.83628584619e-143
19.0 437059.55783 5345562940.44 2.59919867972e-10 5.74571197853e-43 1.0202388849e-89 2.6347390453e-155
20.0 92911212.8973 119655946300.0 251142486.855 5.81160119959e-29 6.72463457028e-81 7.62355546303e-149
21.0 192253.943129 99378630.6849 29115.3719709 3.5099013566e-11 4.1903900224e-68 6.03904358644e-142
22.0 27944134.9512 8071652904.27 402960.776473 8.15450050044e-12 2.30101881861e-43 1.77586828908e-123
23.0 7816640.6474 1498168418.47 14940.8872565 1.10300905935e-14 1.20268350743e-48 5.69357521011e-100
24.0 346906315.977 42133046441.8 47242.2307487 1.71481398003e-15 1.85277342262e-51 7.33227736119e-106
25.0 274521218.673 14785457237.2 21544.1074221 1.06889868705e-17 2.53409620962e-55 3.60597893373e-112
26.0 85678246456.1 2.30232093859e+12 814951.245034 1.20375100887e-14 6.18739409014e-55 6.06522377499e-114
27.0 461140831.996 7098858507.67 660.330019941 9.9793423898e-20 4.12225506155e-58 1.3612469651e-120
28.0 10617429064.9 109382568731.0 2204.44841417 1.5079467827e-20 1.35052774241e-61 3.16562373788e-122
29.0 161550343.371 1734449654.5 2.12758913914 7.54712540032e-25 5.96834928637e-68 2.27043461975e-131
30.0 371072948.834 576927046.691 4.47557122959 1.95404264858e-26 3.72718653932e-71 6.45774937298e-137
